age,gender,daily_screen_time_min,social_media_time_min,negative_interactions_count,positive_interactions_count,sleep_hours,physical_activity_min,anxiety_level,stress_level,mood_level,mental_state
20,0,443,155,1,1,6.8,16,2,7,6,2
47,0,156,55,0,0,8.2,44,1,5,7,1
50,0,169,59,0,1,8.2,43,1,5,7,1
26,1,362,127,1,1,7.2,24,2,7,6,2
23,0,480,120,0,1,6.6,12,2,7,6,2
37,1,253,63,0,1,7.7,35,1,5,7,0
15,1,446,112,0,1,6.8,15,2,7,6,2
52,0,217,141,1,1,7.9,38,2,6,6,2
27,1,329,214,1,2,7.4,27,3,7,6,2
32,0,342,222,1,2,7.3,26,3,7,6,2
31,0,353,212,1,3,7.2,25,3,7,6,2
39,0,270,108,1,1,7.6,33,2,6,6,2
53,0,142,57,0,1,8.3,46,1,5,7,1
49,0,166,83,0,1,8.2,43,1,5,7,1
39,1,239,120,0,2,7.8,36,2,6,6,2
51,0,203,112,0,1,8.0,40,2,6,6,2
30,0,396,218,1,2,7.0,20,3,8,5,2
36,2,219,77,0,1,7.9,38,1,5,7,1
34,1,352,123,1,1,7.2,25,2,7,6,2
20,1,485,170,1,2,6.6,12,3,8,5,2
24,0,498,174,1,2,6.5,10,3,8,5,2
24,0,511,179,1,2,6.4,9,3,8,5,2
42,1,256,64,0,1,7.7,34,1,5,7,0
51,0,209,52,0,0,8.0,39,1,5,7,1
36,0,212,138,1,1,7.9,39,2,6,6,2
19,1,465,302,2,3,6.7,14,4,9,4,2
17,1,418,272,2,2,6.9,18,4,9,4,2
21,0,491,319,2,3,6.5,11,4,9,4,2
20,1,489,293,1,4,6.6,11,3,8,5,2
19,1,502,301,1,4,6.5,10,3,8,5,2
20,1,515,309,1,4,6.4,8,3,8,5,2
35,0,325,130,1,1,7.4,28,2,7,6,2
22,1,458,183,1,2,6.7,14,3,8,5,2
23,0,471,188,1,2,6.6,13,3,8,5,2
33,0,362,181,1,2,7.2,24,3,7,6,2
47,0,195,98,0,1,8.0,40,2,6,6,2
27,1,399,219,1,2,7.0,20,3,8,5,2
24,1,451,248,1,2,6.7,15,3,8,5,2
28,1,344,189,1,2,7.3,26,3,7,6,2
20,0,475,166,1,1,6.6,12,3,8,5,2
19,0,488,171,1,2,6.6,11,3,8,5,2
35,0,392,98,0,1,7.0,21,2,6,6,2
45,1,228,148,1,1,7.9,37,2,6,6,2
23,0,481,313,2,3,6.6,12,4,9,4,2
41,2,254,165,1,1,7.7,35,3,7,5,2
28,1,385,231,1,3,7.1,22,3,7,6,2
41,1,278,167,1,2,7.6,32,3,7,6,2
32,0,341,136,1,1,7.3,26,2,7,6,2
31,1,378,189,1,3,7.1,22,3,7,6,2
14,1,451,226,1,3,6.7,15,3,8,5,2
63,0,143,72,0,1,8.3,46,1,5,7,1
42,0,214,118,0,1,7.9,39,2,6,6,2
27,2,371,130,1,1,7.1,23,2,7,6,2
48,1,204,71,0,1,8.0,40,1,5,7,1
66,0,217,76,0,1,7.9,38,1,5,7,1
69,1,149,52,0,0,8.3,45,1,5,7,1
27,0,342,120,0,1,7.3,26,2,6,6,2
32,0,327,82,0,1,7.4,27,1,6,7,2
19,1,460,115,0,1,6.7,14,2,7,6,2
31,0,353,88,0,1,7.2,25,1,6,7,2
35,0,366,92,0,1,7.2,23,2,6,6,2
27,1,379,95,0,1,7.1,22,2,6,6,2
19,1,484,315,2,3,6.6,12,4,9,4,2
20,1,497,323,2,3,6.5,10,4,9,4,2
66,0,210,136,1,1,8.0,39,2,6,6,2
13,0,382,248,2,2,7.1,22,4,8,5,2
45,0,200,120,0,2,8.0,40,2,6,6,2
22,1,453,272,1,4,6.7,15,3,8,5,2
50,0,177,71,0,1,8.1,42,1,5,7,1
58,1,214,107,0,1,7.9,39,2,6,6,2
13,0,386,193,1,3,7.1,21,3,8,5,2
31,1,339,170,1,2,7.3,26,3,7,6,2
32,0,352,176,1,2,7.2,25,3,7,6,2
21,1,470,258,1,2,6.6,13,3,8,5,2
16,1,423,233,1,2,6.9,18,3,8,5,2
25,0,507,177,1,2,6.5,9,3,8,5,2
61,1,220,77,0,1,7.9,38,1,5,7,1
43,0,212,74,0,1,7.9,39,1,5,7,1
31,1,345,121,1,1,7.3,26,2,7,6,2
24,0,478,167,1,1,6.6,12,3,8,5,2
15,0,403,101,0,1,7.0,20,2,7,6,2
25,1,476,119,0,1,6.6,12,2,7,6,2
20,0,489,122,1,1,6.6,11,2,7,6,2
16,0,442,110,0,1,6.8,16,2,7,6,2
30,1,395,99,0,1,7.0,20,2,7,6,2
21,0,500,325,2,3,6.5,10,4,9,4,2
30,1,393,255,2,2,7.0,21,4,8,5,2
43,0,205,133,1,1,8.0,40,2,6,6,2
21,1,458,298,2,3,6.7,14,4,9,4,2
42,0,216,130,1,2,7.9,38,2,6,6,2
30,1,349,209,1,3,7.3,25,3,7,6,2
17,0,433,173,1,2,6.8,17,3,8,5,2
42,0,266,106,1,1,7.7,33,2,6,6,2
17,0,389,194,1,3,7.1,21,3,8,5,2
21,0,462,231,1,3,6.7,14,3,8,5,2
14,0,415,208,1,3,6.9,18,3,8,5,2
22,1,488,244,1,3,6.6,11,3,8,5,2
42,1,246,135,1,1,7.8,35,2,6,6,2
63,1,199,109,0,1,8.0,40,2,6,6,2
18,1,382,134,1,1,7.1,22,2,7,6,2
43,0,239,60,0,1,7.8,36,1,5,7,1
62,2,192,48,0,0,8.0,41,1,5,7,1
27,0,385,96,0,1,7.1,22,2,6,6,2
45,1,276,179,1,2,7.6,32,3,7,6,2
22,1,448,291,2,3,6.8,15,4,9,4,2
19,0,461,300,2,3,6.7,14,4,9,4,2
32,1,354,230,2,2,7.2,25,3,8,5,2
33,0,367,239,2,2,7.2,23,4,8,5,2
34,0,352,211,1,3,7.2,25,3,7,6,2
45,0,245,147,1,2,7.8,36,2,6,6,2
35,0,378,227,1,3,7.1,22,3,7,6,2
36,1,269,108,1,1,7.7,33,2,6,6,2
33,0,321,128,1,1,7.4,28,2,7,6,2
16,1,394,158,1,1,7.0,21,2,7,6,2
19,0,465,232,1,3,6.7,14,3,8,5,2
19,0,502,276,1,2,6.5,10,3,8,5,2
28,0,395,217,1,2,7.0,20,3,8,5,2
43,0,207,114,0,1,8.0,39,2,6,6,2
21,1,458,160,1,1,6.7,14,2,7,6,2
34,1,351,123,1,1,7.2,25,2,7,6,2
39,0,244,85,0,1,7.8,36,1,5,7,0
25,0,497,174,1,2,6.5,10,3,8,5,2
21,0,510,178,1,2,6.4,9,3,8,5,2
21,0,442,155,1,1,6.8,16,2,7,6,2
19,1,495,124,1,1,6.5,10,2,7,6,2
20,1,451,293,2,3,6.7,15,4,9,4,2
14,0,404,263,2,2,7.0,20,4,9,4,2
15,0,428,257,1,3,6.9,17,3,8,5,2
22,1,501,301,1,4,6.5,10,3,8,5,2
26,0,394,236,1,3,7.0,21,3,8,5,2
19,0,446,268,1,4,6.8,15,3,8,5,2
32,0,324,130,1,1,7.4,28,2,7,6,2
21,0,457,183,1,2,6.7,14,3,8,5,2
24,0,470,188,1,2,6.6,13,3,8,5,2
63,1,181,90,0,1,8.1,42,2,6,6,2
31,1,374,187,1,2,7.1,23,3,7,6,2
41,1,267,134,1,2,7.7,33,2,6,6,2
17,1,458,252,1,2,6.7,14,3,8,5,2
39,1,210,116,0,1,8.0,39,2,6,6,2
22,2,463,255,1,2,6.7,14,3,8,5,2
16,0,414,145,1,1,6.9,19,2,7,6,2
25,0,487,170,1,2,6.6,11,3,8,5,2
21,1,511,128,1,1,6.4,9,2,7,6,2
22,0,443,111,0,1,6.8,16,2,7,6,2
17,1,407,265,2,2,7.0,19,4,9,4,2
44,1,240,156,1,1,7.8,36,2,6,6,2
17,0,433,281,2,2,6.8,17,4,9,4,2
19,0,506,329,2,3,6.5,9,4,9,4,2
19,0,504,302,1,4,6.5,10,3,8,5,2
49,1,217,130,1,2,7.9,38,2,6,6,2
69,1,149,89,0,1,8.3,45,1,5,7,1
23,1,462,277,1,4,6.7,14,3,8,5,2
22,0,460,184,1,2,6.7,14,3,8,5,2
22,0,473,189,1,2,6.6,13,3,8,5,2
34,0,366,146,1,1,7.2,23,2,7,6,2
43,0,259,104,1,1,7.7,34,2,6,6,2
33,1,377,188,1,3,7.1,22,3,7,6,2
44,0,270,135,1,2,7.6,33,2,6,6,2
41,0,202,101,0,1,8.0,40,2,6,6,2
13,0,395,198,1,3,7.0,20,3,8,5,2
24,1,453,249,1,2,6.7,15,3,8,5,2
29,1,346,190,1,2,7.3,25,3,7,6,2
16,0,430,150,1,1,6.8,17,2,7,6,2
32,1,383,134,1,1,7.1,22,2,7,6,2
49,1,146,36,0,0,8.3,45,1,5,7,1
20,0,459,115,0,1,6.7,14,2,7,6,2
19,0,472,118,0,1,6.6,13,2,7,6,2
47,1,183,119,1,1,8.1,42,2,6,6,2
66,1,196,127,1,1,8.0,40,2,6,6,2
42,0,269,175,1,2,7.7,33,3,7,6,2
28,0,400,240,1,3,7.0,20,3,8,5,2
38,2,212,127,1,2,7.9,39,2,6,6,2
68,1,165,99,0,1,8.2,44,2,6,6,2
33,1,356,142,1,1,7.2,24,2,7,6,2
24,0,489,196,1,2,6.6,11,3,8,5,2
31,0,382,153,1,1,7.1,22,2,7,6,2
45,1,273,136,1,2,7.6,33,2,6,6,2
13,1,385,192,1,3,7.1,22,3,7,6,2
41,1,218,109,0,1,7.9,38,2,6,6,2
15,1,411,206,1,3,6.9,19,3,8,5,2
58,0,169,93,0,1,8.2,43,2,6,6,2
26,1,362,199,1,2,7.2,24,3,7,6,2
22,1,506,177,1,2,6.5,9,3,8,5,2
20,0,519,182,1,2,6.4,8,3,8,5,2
31,0,342,86,0,1,7.3,26,1,6,7,2
13,1,439,285,2,3,6.8,16,4,9,4,2
35,0,392,255,2,2,7.0,21,4,8,5,2
33,1,324,211,1,2,7.4,28,3,7,6,2
19,1,455,273,1,4,6.7,14,3,8,5,2
16,0,432,173,1,2,6.8,17,3,8,5,2
25,0,505,202,1,2,6.5,10,3,8,5,2
42,0,208,104,0,1,8.0,39,2,6,6,2
21,1,461,230,1,3,6.7,14,3,8,5,2
29,1,365,201,1,2,7.2,24,3,7,6,2
30,1,378,208,1,2,7.1,22,3,7,6,2
38,1,201,70,0,1,8.0,40,1,5,7,1
20,1,454,159,1,1,6.7,15,2,7,6,2
17,1,407,142,1,1,7.0,19,2,7,6,2
32,1,358,90,0,1,7.2,24,2,6,6,2
24,0,515,335,2,3,6.4,8,4,9,4,2
63,0,171,103,0,1,8.1,43,2,6,6,2
20,1,484,290,1,4,6.6,12,3,8,5,2
28,1,377,226,1,3,7.1,22,3,7,6,2
26,0,390,234,1,3,7.0,21,3,8,5,2
14,0,448,179,1,2,6.8,15,3,8,5,2
32,0,320,128,1,1,7.4,28,2,7,6,2
24,1,464,232,1,3,6.7,14,3,8,5,2
45,1,261,144,1,1,7.7,34,2,6,6,2
41,1,274,151,1,1,7.6,33,2,6,6,2
32,1,337,118,0,1,7.3,26,2,6,6,2
49,0,170,59,0,1,8.2,43,1,5,7,1
31,0,363,127,1,1,7.2,24,2,7,6,2
36,1,254,64,0,1,7.7,35,1,5,7,0
18,0,390,254,2,2,7.0,21,4,8,5,2
35,0,343,223,1,2,7.3,26,3,7,6,2
26,1,356,231,2,2,7.2,24,3,8,5,2
24,1,487,292,1,4,6.6,11,3,8,5,2
33,1,323,129,1,1,7.4,28,2,7,6,2
34,0,360,180,1,2,7.2,24,3,7,6,2
42,0,253,126,1,2,7.7,35,2,6,6,2
67,0,217,119,0,1,7.9,38,2,6,6,2
26,0,329,181,1,2,7.4,27,3,7,6,2
21,1,473,166,1,1,6.6,13,3,8,5,2
33,0,366,128,1,1,7.2,23,2,7,6,2
23,0,499,175,1,2,6.5,10,3,8,5,2
29,1,390,98,0,1,7.0,21,2,6,6,2
21,0,442,110,0,1,6.8,16,2,7,6,2
13,0,395,99,0,1,7.0,20,2,7,6,2
20,1,466,303,2,3,6.7,13,4,9,4,2
33,0,359,233,2,2,7.2,24,3,8,5,2
23,1,492,320,2,3,6.5,11,4,9,4,2
24,1,505,328,2,3,6.5,10,4,9,4,2
45,1,278,181,1,2,7.6,32,3,7,6,2
38,0,263,158,1,2,7.7,34,2,6,6,2
16,1,456,274,1,4,6.7,14,3,8,5,2
41,1,219,88,1,1,7.9,38,2,6,6,2
25,0,472,189,1,2,6.6,13,3,8,5,2
19,0,496,248,1,3,6.5,10,3,8,5,2
32,0,389,194,1,3,7.1,21,3,8,5,2
37,0,201,100,0,1,8.0,40,2,6,6,2
36,1,212,117,0,1,7.9,39,2,6,6,2
40,1,225,124,1,1,7.9,38,2,6,6,2
22,0,489,171,1,2,6.6,11,3,8,5,2
21,1,502,176,1,2,6.5,10,3,8,5,2
20,1,445,111,0,1,6.8,16,2,7,6,2
36,0,242,157,1,1,7.8,36,2,6,6,2
30,0,399,239,1,3,7.0,20,3,8,5,2
21,0,451,271,1,4,6.7,15,3,8,5,2
41,1,224,134,1,2,7.9,38,2,6,6,2
41,0,237,142,1,2,7.8,36,2,6,6,2
28,1,370,222,1,3,7.2,23,3,7,6,2
31,1,355,142,1,1,7.2,24,2,7,6,2
25,1,488,195,1,2,6.6,11,3,8,5,2
47,1,201,80,1,1,8.0,40,2,6,6,2
62,0,214,86,1,1,7.9,39,2,6,6,2
26,0,392,196,1,3,7.0,21,3,8,5,2
16,0,384,192,1,3,7.1,22,3,7,6,2
18,0,397,198,1,3,7.0,20,3,8,5,2
26,1,348,191,1,2,7.3,25,3,7,6,2
31,1,361,199,1,2,7.2,24,3,7,6,2
67,1,205,72,0,1,8.0,40,1,5,7,1
23,0,461,115,0,1,6.7,14,2,7,6,2
20,0,498,324,2,3,6.5,10,4,9,4,2
19,1,511,332,2,3,6.4,9,4,9,4,2
23,1,454,272,1,4,6.7,15,3,8,5,2
24,1,467,280,1,4,6.7,13,3,8,5,2
36,1,251,100,1,1,7.7,35,2,6,6,2
29,1,384,154,1,1,7.1,22,2,7,6,2
34,0,397,159,1,1,7.0,20,2,7,6,2
24,0,447,224,1,3,6.8,15,3,8,5,2
58,1,160,80,0,1,8.2,44,1,5,7,1
20,1,473,236,1,3,6.6,13,3,8,5,2
17,0,424,233,1,2,6.9,18,3,8,5,2
33,0,377,207,1,2,7.1,22,3,7,6,2
22,0,440,154,1,1,6.8,16,2,7,6,2
23,0,453,159,1,1,6.7,15,2,7,6,2
29,0,346,121,1,1,7.3,25,2,7,6,2
34,1,359,126,1,1,7.2,24,2,7,6,2
18,0,432,151,1,1,6.8,17,2,7,6,2
14,1,417,104,0,1,6.9,18,2,7,6,2
41,1,250,62,0,1,7.8,35,1,5,7,0
24,1,503,126,1,1,6.5,10,2,7,6,2
26,1,394,256,2,2,7.0,21,4,8,5,2
35,0,326,212,1,2,7.4,27,3,7,6,2
23,1,470,282,1,4,6.6,13,3,8,5,2
31,1,363,218,1,3,7.2,24,3,7,6,2
24,1,496,298,1,4,6.5,10,3,8,5,2
26,0,387,155,1,1,7.1,21,2,7,6,2
31,0,400,160,1,1,7.0,20,2,7,6,2
36,0,223,112,0,1,7.9,38,2,6,6,2
22,0,476,238,1,3,6.6,12,3,8,5,2
14,1,440,242,1,2,6.8,16,3,8,5,2
28,0,393,216,1,2,7.0,21,3,8,5,2
21,0,456,160,1,1,6.7,14,2,7,6,2
23,1,469,164,1,1,6.7,13,3,8,5,2
13,1,422,148,1,1,6.9,18,2,7,6,2
23,2,493,123,1,1,6.5,11,2,7,6,2
26,0,329,214,1,2,7.4,27,3,7,6,2
66,0,186,112,0,1,8.1,41,2,6,6,2
20,0,442,177,1,2,6.8,16,3,8,5,2
35,0,359,180,1,2,7.2,24,3,7,6,2
56,1,192,96,0,1,8.0,41,2,6,6,2
23,1,505,252,1,3,6.5,10,3,8,5,2
25,0,518,259,1,3,6.4,8,3,8,5,2
52,0,216,119,0,1,7.9,38,2,6,6,2
64,0,148,81,0,1,8.3,45,1,5,7,1
22,0,461,254,1,2,6.7,14,3,8,5,2
24,0,472,165,1,1,6.6,13,3,8,5,2
31,0,365,128,1,1,7.2,24,2,7,6,2
47,1,209,52,0,0,8.0,39,1,5,7,1
21,1,465,302,2,3,6.7,14,4,9,4,2
18,0,418,272,2,2,6.9,18,4,9,4,2
31,0,382,229,1,3,7.1,22,3,7,6,2
18,0,455,273,1,4,6.7,14,3,8,5,2
20,0,458,183,1,2,6.7,14,3,8,5,2
18,1,435,218,1,3,6.8,16,3,8,5,2
18,1,448,224,1,3,6.8,15,3,8,5,2
28,0,331,182,1,2,7.3,27,3,7,6,2
21,1,464,255,1,2,6.7,14,3,8,5,2
25,1,488,171,1,2,6.6,11,3,8,5,2
38,0,261,91,0,1,7.7,34,2,6,6,2
22,1,514,180,1,2,6.4,9,3,8,5,2
30,0,324,81,0,1,7.4,28,1,6,7,2
34,1,337,84,0,1,7.3,26,1,6,7,2
26,0,350,88,0,1,7.2,25,1,6,7,2
24,0,481,313,2,3,6.6,12,4,9,4,2
24,1,518,311,1,4,6.4,8,3,8,5,2
56,1,150,90,0,1,8.2,45,2,6,6,2
42,1,234,94,1,1,7.8,37,2,6,6,2
19,0,487,195,1,2,6.6,11,3,8,5,2
58,0,200,80,1,1,8.0,40,2,6,6,2
25,0,511,256,1,3,6.4,9,3,8,5,2
23,1,443,222,1,3,6.8,16,3,8,5,2
20,1,467,257,1,2,6.7,13,3,8,5,2
23,1,480,264,1,2,6.6,12,3,8,5,2
20,0,493,271,1,2,6.5,11,3,8,5,2
36,0,266,146,1,1,7.7,33,2,6,6,2
24,0,504,176,1,2,6.5,10,3,8,5,2
60,0,217,76,0,1,7.9,38,1,5,7,1
69,0,149,52,0,0,8.3,45,1,5,7,1
25,1,460,115,0,1,6.7,14,2,7,6,2
28,0,377,245,2,2,7.1,22,4,8,5,2
45,1,213,128,1,2,7.9,39,2,6,6,2
26,0,346,208,1,3,7.3,25,3,7,6,2
24,1,479,287,1,4,6.6,12,3,8,5,2
41,1,250,100,1,1,7.8,35,2,6,6,2
13,1,386,193,1,3,7.1,21,3,8,5,2
24,0,459,230,1,3,6.7,14,3,8,5,2
23,0,472,236,1,3,6.6,13,3,8,5,2
24,1,483,266,1,2,6.6,12,3,8,5,2
29,0,376,207,1,2,7.1,22,3,7,6,2
26,0,389,214,1,2,7.1,21,3,8,5,2
21,1,441,243,1,2,6.8,16,3,8,5,2
22,1,454,250,1,2,6.7,15,3,8,5,2
30,0,400,140,1,1,7.0,20,2,7,6,2
15,0,392,137,1,1,7.0,21,2,7,6,2
34,0,345,121,1,1,7.3,26,2,7,6,2
25,0,476,119,0,1,6.6,12,2,7,6,2
46,1,189,47,0,0,8.1,41,1,5,7,1
40,1,273,177,1,2,7.6,33,3,7,6,2
45,1,205,133,1,1,8.0,40,2,6,6,2
21,1,458,298,2,3,6.7,14,4,9,4,2
27,0,349,209,1,3,7.3,25,3,7,6,2
43,0,242,145,1,2,7.8,36,2,6,6,2
23,1,506,202,1,2,6.5,9,3,8,5,2
17,0,459,184,1,2,6.7,14,3,8,5,2
37,1,222,111,0,1,7.9,38,2,6,6,2
32,1,355,178,1,2,7.2,24,3,7,6,2
16,1,428,214,1,3,6.9,17,3,8,5,2
14,0,441,220,1,3,6.8,16,3,8,5,2
13,0,454,227,1,3,6.7,15,3,8,5,2
22,1,499,274,1,2,6.5,10,3,8,5,2
24,1,512,282,1,3,6.4,9,3,8,5,2
44,0,215,75,0,1,7.9,38,1,5,7,1
42,1,228,80,0,1,7.9,37,1,5,7,1
26,0,361,126,1,1,7.2,24,2,7,6,2
25,0,494,173,1,2,6.5,11,3,8,5,2
68,1,207,72,0,1,8.0,39,1,5,7,1
20,0,492,123,1,1,6.5,11,2,7,6,2
21,1,505,126,1,1,6.5,10,2,7,6,2
40,1,278,70,0,1,7.6,32,1,6,7,2
19,1,450,112,0,1,6.8,15,2,7,6,2
25,0,448,291,2,3,6.8,15,4,9,4,2
36,0,245,147,1,2,7.8,36,2,6,6,2
20,1,441,176,1,2,6.8,16,3,8,5,2
33,1,358,179,1,2,7.2,24,3,7,6,2
30,1,395,217,1,2,7.0,20,3,8,5,2
34,2,351,123,1,1,7.2,25,2,7,6,2
40,1,244,85,0,1,7.8,36,1,5,7,0
13,1,437,153,1,1,6.8,16,2,7,6,2
22,1,508,127,1,1,6.5,9,2,7,6,2
19,0,464,302,2,3,6.7,14,4,9,4,2
45,0,237,154,1,1,7.8,36,2,6,6,2
66,0,201,121,1,2,8.0,40,2,6,6,2
19,0,514,308,1,4,6.4,9,3,8,5,2
28,1,326,196,1,3,7.4,27,3,7,6,2
13,0,399,239,1,3,7.0,20,3,8,5,2
43,0,217,87,1,1,7.9,38,2,6,6,2
21,1,494,247,1,3,6.5,11,3,8,5,2
38,1,267,134,1,2,7.7,33,2,6,6,2
28,1,400,200,1,3,7.0,20,3,8,5,2
41,0,212,106,0,1,7.9,39,2,6,6,2
30,0,330,182,1,2,7.4,27,3,7,6,2
51,0,163,90,0,1,8.2,44,2,6,6,2
42,1,247,86,0,1,7.8,35,1,5,7,0
38,0,203,51,0,0,8.0,40,1,5,7,1
45,1,216,54,0,0,7.9,38,1,5,7,1
15,1,409,102,0,1,7.0,19,2,7,6,2
14,0,420,273,2,2,6.9,18,4,9,4,2
15,1,433,281,2,2,6.8,17,4,9,4,2
23,2,506,329,2,3,6.5,9,4,9,4,2
21,0,517,310,1,4,6.4,8,3,8,5,2
19,1,449,269,1,4,6.8,15,3,8,5,2
30,0,342,205,1,3,7.3,26,3,7,6,2
32,0,355,213,1,3,7.2,24,3,7,6,2
35,1,353,141,1,1,7.2,25,2,7,6,2
42,1,246,98,1,1,7.8,35,2,6,6,2
53,0,199,80,1,1,8.0,40,2,6,6,2
23,0,510,255,1,3,6.4,9,3,8,5,2
26,0,322,161,1,2,7.4,28,2,7,6,2
16,0,395,198,1,3,7.0,20,3,8,5,2
24,0,466,256,1,2,6.7,13,3,8,5,2
35,0,359,197,1,2,7.2,24,3,7,6,2
36,1,263,92,0,1,7.7,34,2,6,6,2
25,0,459,115,0,1,6.7,14,2,7,6,2
20,0,472,118,0,1,6.6,13,2,7,6,2
30,0,365,91,0,1,7.2,24,2,6,6,2
29,0,376,244,2,2,7.1,22,4,8,5,2
28,0,389,253,2,2,7.1,21,4,8,5,2
36,1,201,131,1,1,8.0,40,2,6,6,2
21,0,454,295,2,3,6.7,15,4,9,4,2
28,1,332,199,1,3,7.3,27,3,7,6,2
24,1,465,279,1,4,6.7,14,3,8,5,2
19,0,478,287,1,4,6.6,12,3,8,5,2
23,0,491,295,1,4,6.5,11,3,8,5,2
16,1,444,266,1,4,6.8,16,3,8,5,2
29,1,397,238,1,3,7.0,20,3,8,5,2
43,1,249,100,1,1,7.8,35,2,6,6,2
21,1,502,201,1,2,6.5,10,3,8,5,2
20,1,445,222,1,3,6.8,16,3,8,5,2
23,0,458,229,1,3,6.7,14,3,8,5,2
44,1,242,133,1,1,7.8,36,2,6,6,2
31,0,375,206,1,2,7.1,22,3,7,6,2
35,0,388,213,1,2,7.1,21,3,8,5,2
24,1,519,182,1,2,6.4,8,3,8,5,2
29,1,331,116,0,1,7.3,27,2,6,6,2
62,1,175,44,0,0,8.1,42,1,5,7,1
27,1,368,92,0,1,7.2,23,2,6,6,2
33,0,381,95,0,1,7.1,22,2,6,6,2
18,1,454,114,0,1,6.7,15,2,7,6,2
34,1,392,255,2,2,7.0,21,4,8,5,2
22,0,444,289,2,3,6.8,16,4,9,4,2
36,1,217,141,1,1,7.9,38,2,6,6,2
31,1,350,228,2,2,7.2,25,3,8,5,2
58,0,168,101,0,1,8.2,43,2,6,6,2
40,1,241,145,1,2,7.8,36,2,6,6,2
33,1,385,154,1,1,7.1,22,2,7,6,2
19,1,518,207,1,2,6.4,8,3,8,5,2
22,0,450,180,1,2,6.8,15,3,8,5,2
35,0,341,170,1,2,7.3,26,3,7,6,2
34,0,354,177,1,2,7.2,25,3,7,6,2
55,1,187,94,0,1,8.1,41,2,6,6,2
30,1,378,208,1,2,7.1,22,3,7,6,2
68,0,154,54,0,0,8.2,45,1,5,7,1
66,0,167,58,0,1,8.2,43,1,5,7,1
19,1,480,168,1,1,6.6,12,3,8,5,2
26,1,373,131,1,1,7.1,23,2,7,6,2
31,1,371,93,0,1,7.1,23,2,6,6,2
28,0,384,96,0,1,7.1,22,2,6,6,2
25,1,447,291,2,3,6.8,15,4,9,4,2
36,1,220,143,1,1,7.9,38,2,6,6,2
31,1,353,229,2,2,7.2,25,3,8,5,2
57,1,186,121,1,1,8.1,41,2,6,6,2
23,0,484,290,1,4,6.6,12,3,8,5,2
30,1,377,226,1,3,7.1,22,3,7,6,2
23,1,440,176,1,2,6.8,16,3,8,5,2
54,0,153,61,0,1,8.2,45,1,5,7,1
43,0,226,90,1,1,7.9,37,2,6,6,2
34,0,359,144,1,1,7.2,24,2,7,6,2
45,0,237,118,0,2,7.8,36,2,6,6,2
39,0,250,125,1,2,7.8,35,2,6,6,2
22,1,514,283,1,3,6.4,9,3,8,5,2
68,0,170,59,0,1,8.2,43,1,5,7,1
23,1,483,169,1,2,6.6,12,3,8,5,2
27,1,376,132,1,1,7.1,22,2,7,6,2
14,2,449,157,1,1,6.8,15,2,7,6,2
22,1,507,127,1,1,6.5,9,2,7,6,2
18,1,403,262,2,2,7.0,20,4,9,4,2
19,1,476,309,2,3,6.6,12,4,9,4,2
21,0,500,300,1,4,6.5,10,3,8,5,2
35,1,393,236,1,3,7.0,21,3,8,5,2
23,0,445,267,1,4,6.8,16,3,8,5,2
45,0,218,131,1,2,7.9,38,2,6,6,2
31,1,351,211,1,3,7.2,25,3,7,6,2
13,1,396,158,1,1,7.0,20,2,7,6,2
23,0,469,188,1,2,6.7,13,3,8,5,2
19,1,482,193,1,2,6.6,12,3,8,5,2
29,1,375,150,1,1,7.1,22,2,7,6,2
21,0,508,203,1,2,6.5,9,3,8,5,2
40,0,253,126,1,2,7.7,35,2,6,6,2
41,1,266,133,1,2,7.7,33,2,6,6,2
19,1,519,260,1,3,6.4,8,3,8,5,2
13,1,389,214,1,2,7.1,21,3,8,5,2
21,1,462,254,1,2,6.7,14,3,8,5,2
49,0,175,96,0,1,8.1,42,2,6,6,2
31,0,366,128,1,1,7.2,23,2,7,6,2
23,0,499,175,1,2,6.5,10,3,8,5,2
13,1,382,96,0,1,7.1,22,2,6,6,2
20,0,455,114,0,1,6.7,14,2,7,6,2
45,1,239,155,1,1,7.8,36,2,6,6,2
23,1,492,320,2,3,6.5,11,4,9,4,2
64,1,216,130,1,2,7.9,38,2,6,6,2
54,0,148,89,0,1,8.3,45,1,5,7,1
32,0,341,205,1,3,7.3,26,3,7,6,2
29,1,352,141,1,1,7.2,25,2,7,6,2
22,0,485,194,1,2,6.6,12,3,8,5,2
31,1,378,151,1,1,7.1,22,2,7,6,2
29,1,389,194,1,3,7.1,21,3,8,5,2
21,0,441,220,1,3,6.8,16,3,8,5,2
23,0,454,227,1,3,6.7,15,3,8,5,2
23,0,465,256,1,2,6.7,14,3,8,5,2
21,1,478,263,1,2,6.6,12,3,8,5,2
35,1,371,204,1,2,7.1,23,3,7,6,2
29,1,382,134,1,1,7.1,22,2,7,6,2
14,0,398,100,0,1,7.0,20,2,7,6,2
24,0,471,118,0,1,6.6,13,2,7,6,2
21,1,495,322,2,3,6.5,10,4,9,4,2
40,0,211,127,1,2,7.9,39,2,6,6,2
44,0,224,134,1,2,7.9,38,2,6,6,2
24,0,488,195,1,2,6.6,11,3,8,5,2
34,0,381,152,1,1,7.1,22,2,7,6,2
19,0,444,222,1,3,6.8,16,3,8,5,2
49,1,157,78,0,1,8.2,44,1,5,7,1
29,0,350,175,1,2,7.2,25,3,7,6,2
43,0,243,122,1,2,7.8,36,2,6,6,2
